CountryName,Region,ThirdWorld,LifeExpectancy1990,LifeExpectancy2017,MortalityInfantRate1990,MortalityInfantRate2017,Physician1990,Physician2017,BirthRate1990,BirthRate2017,PopAge15-64Rate1990,PopAge15-64Rate2017,PopAgeOver65Rate1990,PopAgeOver65Rate2017
Algeria,Africa,0,66.938,76.499,41.8,20.9,0.942,1.7879,32.13,24.846,53.2918001951095,64.1832049427207,3.35923133892253,6.17720487347554
Angola,Africa,1,45.306,60.379,131.3,53.5,0.042,0.2146,50.383,41.281,49.9704601116135,50.8077871356001,2.46696891880464,2.23919656477835
Antigua and Barbuda,North America,0,71.52,76.752,11.5,6.2,0.76,2.956,18.659,15.53,61.2525588536336,69.1928824429401,7.96123336745138,8.57523106910066
Argentina,South America,0,71.594,76.372,25.3,9.2,2.68,3.9901,22.226,17.205,60.2915951367823,64.0835225051061,8.92239228409538,10.9897071133897
Armenia,Western Asia,0,67.879,74.797,41.7,11.6,0.747,4.4023,21.768,14.298,64.3240533032462,68.4489663273217,5.63211896768133,11.0966448892298
Austria,Western Europe,0,75.56829268292685,81.6439024390244,8.0,2.9,2.9909,5.1697,11.8,10.0,68.1482101966235,66.812507305921,14.9214734587191,18.9565733220815
"Bahamas, The",North America,0,70.199,73.554,20.0,11.4,1.29,2.0068,23.892,14.049,63.2933030992534,70.0653560529659,4.26932789015818,7.06054930518264
Bangladesh,South Asia,1,58.21,72.052,99.7,28.0,0.177,0.5433,35.099,18.501,54.7631616095366,66.625937004745,3.14289476105309,5.14947500781286
Barbados,North America,0,74.704,78.981,16.2,12.4,1.14,2.4843,15.988,10.683,65.6892877947083,66.9488387042679,10.2845142103811,15.4109254031695
Belgium,Western Europe,0,76.0519512195122,81.49268292682927,8.3,2.9,3.3,3.0709,12.4,10.5,67.0824212635251,64.3794416479243,14.9914995626862,18.5840790882601
Belize,North America,0,71.242,74.365,31.2,11.8,0.639,1.1229,35.862,21.081,52.4099982938065,64.4805718406787,4.13005459819144,4.61586772724733
Bhutan,South Asia,1,52.878,71.129,89.1,25.5,0.333,0.4024,38.163,17.459,53.7337699037686,67.8557009937457,2.82910452822511,5.9249184844205
Brazil,South America,0,66.343,75.456,52.4,13.2,1.0864,2.1652,24.844,14.125,60.5795748458408,69.7106712029254,4.26175882114979,8.60549199443827
Burundi,Africa,1,47.829,60.898,105.2,42.6,0.058,0.1001,49.866,39.646,49.3316089831194,52.2577451836004,2.75563862703824,2.18676073257099
Canada,North America,0,77.42195121951221,81.9,6.8,4.4,2.1,2.6102,15.0,10.3,68.0550811673181,67.28747162393,11.2525184432888,16.8424915594931
Chile,South America,0,73.509,79.909,16.1,6.4,1.1,2.4411,22.286,12.711,63.9508180382976,68.7839092508846,5.92977292085809,11.1918942478844
China,East Asia,0,69.145,76.47,42.1,7.9,1.1015,1.9798,21.06,12.43,65.7801209331756,71.7175184402221,5.63016222111345,10.3451204570585
Colombia,South America,0,69.75,76.925,28.8,12.6,1.0145,2.1064,27.136,15.098,59.796589842331,68.2439989221801,4.16028662422787,8.19908853104178
Costa Rica,North America,0,75.654,79.914,14.0,7.5,1.26,2.9533,27.394,14.246,59.7991045167503,69.1721175590723,4.58339704683511,9.25051020676152
Cuba,North America,0,74.638,78.662,10.9,4.0,3.651,8.295,16.487,10.386,67.7521450200892,68.8156204984913,8.98880030710616,14.778079757275
